"Id","google_id","XDIndicator"
619,"8rjreLIAAAAJ","XD"
620,"8ro0mcwAAAAJ","XD"
621,"8rttV7kAAAAJ","XD"
622,"8SIqR9kAAAAJ","BIO"
623,"8syZZBAAAAAJ","XD"
624,"8sz_AGoAAAAJ","XD"
625,"8u-R4tAAAAAJ","XD"
626,"8UvpDEsAAAAJ","XD"
627,"8v1PvG1CERwC","XD"
628,"8v3hRYcAAAAJ","XD"
629,"8vJp_zIAAAAJ","XD"
630,"8VkvOEEAAAAJ","XD"
631,"8vsRBCgAAAAJ","XD"
632,"8vXZpPwAAAAJ","XD"
633,"8ys-38kAAAAJ","XD"
634,"8ZpV-lkAAAAJ","XD"
635,"8ZwKgNUAAAAJ","BIO"
636,"9-rUhp0AAAAJ","XD"
637,"90qiDCwAAAAJ","CS"
638,"910z20QAAAAJ","XD"
639,"9177npMAAAAJ","XD"
640,"92mdADUAAAAJ","XD"
641,"93yNuV0AAAAJ","XD"
642,"953LGdYAAAAJ","CS"
643,"95xNBicAAAAJ","XD"
644,"95Z6-isAAAAJ","XD"
645,"97Xv4U4AAAAJ","XD"
646,"98iA_ooAAAAJ","XD"
647,"98W28JoAAAAJ","XD"
648,"99TuW7wAAAAJ","XD"
649,"9AAcxvIAAAAJ","XD"
650,"9bAg9PwAAAAJ","BIO"
651,"9CC9gHoAAAAJ","XD"
652,"9DCRnPkAAAAJ","XD"
653,"9eDoldEAAAAJ","XD"
654,"9Ee76gwAAAAJ","BIO"
655,"9EJnQ4IAAAAJ","XD"
656,"9EkM1A8AAAAJ","XD"
657,"9fg4Cf4AAAAJ","XD"
658,"9fGoifYAAAAJ","XD"
659,"9gBvN78AAAAJ","XD"
660,"9H5I3iIAAAAJ","XD"
661,"9HNdszIAAAAJ","XD"
662,"9hPnkXsAAAAJ","XD"
663,"9hvCdiQAAAAJ","CS"
664,"9INT9oQAAAAJ","XD"
665,"9j6RBYQAAAAJ","XD"
666,"9jmmp5sAAAAJ","XD"
667,"9K0aWCYAAAAJ","XD"
668,"9KAjEhUAAAAJ","XD"
669,"9kgD3pQAAAAJ","XD"
