"ID","google_id","dept","XDIndicator"
486,"6H0mhLUAAAAJ","CS","CS"
487,"6HE56R8AAAAJ","CS","CS"
488,"6hPAjdYAAAAJ","BIO","XD"
489,"6IHX8J4AAAAJ","CS","CS"
490,"6II-xhMAAAAJ","BIO","XD"
491,"6IinLVUAAAAJ","CS","CS"
492,"6IxWYR0AAAAJ","CS","XD"
493,"6JEDxqcAAAAJ","CS","XD"
494,"6KUiLfAAAAAJ","BIO","BIO"
495,"6Kuq1acAAAAJ","CS","XD"
496,"6laH_QsAAAAJ","BIO","BIO"
497,"6o13_-QAAAAJ","BIO","BIO"
498,"6P4bGWAAAAAJ","CS","CS"
499,"6pG19JoAAAAJ","BIO","XD"
500,"6qE0tdAAAAAJ","CS","CS"
501,"6QM1ANkAAAAJ","BIO","BIO"
502,"6RqRAWcAAAAJ","BIO","BIO"
503,"6S-WgLkAAAAJ","CS","CS"
504,"6s2hs3oAAAAJ","CS","CS"
505,"6t7Zm4oAAAAJ","BIO","XD"
506,"6UBlenoAAAAJ","BIO","BIO"
507,"6Ue8tWQAAAAJ","BIO","BIO"
508,"6UTCD84AAAAJ","BIO","BIO"
509,"6VNQ_IkAAAAJ","BIO","BIO"
510,"6vXTtDQAAAAJ","CS","CS"
511,"6y4Vgs0AAAAJ","BIO","BIO"
512,"6Yne-voAAAAJ","BIO","BIO"
513,"6YU6_QoAAAAJ","CS","CS"
514,"6Z88TncAAAAJ","BIO","BIO"
515,"6_cxCKQAAAAJ","CS","CS"
516,"6_oL_9IAAAAJ","CS","CS"
517,"6_wqtu4AAAAJ","BIO","BIO"
518,"70BD9O8AAAAJ","BIO","XD"
519,"70fkMMgAAAAJ","BIO","BIO"
520,"71OktocAAAAJ","CS","CS"
521,"71RQt3sAAAAJ","CS","CS"
522,"72e5VYEAAAAJ","CS","CS"
523,"76nnaMsAAAAJ","BIO","BIO"
524,"77kOUvYAAAAJ","CS","CS"
525,"79kYqosAAAAJ","BIO","BIO"
