"year","Source","s_dept","Target","t_dept"
1985,3826,"CS",2330,"CS"
1985,3875,"CS",2879,"CS"
1985,3875,"CS",2879,"CS"
1985,4060,"BIO",3669,"BIO"
1985,4060,"BIO",3669,"BIO"
1985,4069,"CS",2640,"CS"
1985,4122,"CS",500,"CS"
1986,106,"CS",1558,"CS"
1986,804,"BIO",108,"BIO"
1986,1577,"CS",141,"CS"
1986,699,"CS",143,"CS"
1986,699,"CS",143,"CS"
1986,179,"BIO",627,"BIO"
1986,216,"BIO",817,"BIO"
1986,228,"BIO",1787,"BIO"
1986,268,"CS",2032,"CS"
1986,3320,"CS",348,"CS"
1986,3168,"CS",378,"CS"
1986,3429,"CS",379,"CS"
1986,2119,"CS",498,"CS"
1986,505,"BIO",533,"BIO"
1986,505,"BIO",533,"BIO"
1986,2412,"CS",550,"CS"
1986,1856,"BIO",590,"BIO"
1986,1856,"BIO",590,"BIO"
1986,3014,"CS",606,"CS"
1986,699,"CS",143,"CS"
1986,699,"CS",143,"CS"
1986,2296,"BIO",702,"BIO"
1986,708,"CS",3944,"CS"
1986,708,"CS",3944,"CS"
1986,3853,"CS",765,"CS"
1986,3467,"CS",798,"CS"
1986,3467,"CS",798,"CS"
1986,216,"BIO",817,"BIO"
1986,831,"CS",1338,"CS"
1986,3718,"CS",847,"CS"
1986,3718,"CS",847,"CS"
1986,3718,"CS",847,"CS"
1986,3718,"CS",847,"CS"
1986,3028,"CS",942,"CS"
1986,3028,"CS",942,"CS"
1986,3574,"CS",942,"CS"
1986,3574,"CS",942,"CS"
1986,3574,"CS",942,"CS"
1986,966,"CS",2640,"CS"
1986,1802,"BIO",1043,"BIO"
1986,3582,"BIO",1043,"BIO"
1986,1060,"BIO",1234,"BIO"
1986,3944,"CS",1092,"CS"
1986,3944,"CS",1092,"CS"
1986,3062,"BIO",1177,"BIO"
1986,1215,"BIO",2609,"BIO"
1986,1255,"CS",3089,"CS"
1986,1255,"CS",3089,"CS"
1986,1255,"CS",3089,"CS"
1986,1273,"CS",3235,"CS"
1986,1273,"CS",470,"CS"
1986,1273,"CS",3235,"CS"
1986,470,"CS",3235,"CS"
1986,1283,"CS",2330,"CS"
1986,1322,"CS",1667,"CS"
1986,831,"CS",1338,"CS"
1986,3570,"BIO",1402,"BIO"
1986,1455,"CS",1178,"CS"
1986,1508,"CS",1778,"CS"
1986,1508,"CS",1778,"CS"
1986,106,"CS",1558,"CS"
1986,1574,"CS",4116,"CS"
1986,1596,"CS",500,"CS"
1986,1634,"CS",2332,"CS"
1986,834,"CS",1694,"CS"
1986,834,"CS",1694,"CS"
1986,1721,"CS",2217,"CS"
1986,1721,"CS",2217,"CS"
1986,2486,"BIO",1739,"BIO"
1986,1856,"BIO",590,"BIO"
1986,1856,"BIO",590,"BIO"
1986,1911,"CS",3869,"CS"
1986,1911,"CS",3869,"CS"
1986,2032,"CS",2244,"CS"
1986,2109,"BIO",2799,"BIO"
1986,2119,"CS",498,"CS"
1986,2170,"CS",3921,"CS"
1986,1721,"CS",2217,"CS"
1986,2032,"CS",2244,"CS"
1986,2486,"BIO",2245,"BIO"
1986,3826,"CS",2330,"CS"
1986,1283,"CS",2330,"CS"
1986,3422,"CS",2330,"CS"
1986,3352,"CS",2412,"CS"
1986,3352,"CS",550,"CS"
1986,2412,"CS",550,"CS"
1986,2486,"BIO",1739,"BIO"
1986,3536,"CS",2546,"CS"
1986,3536,"CS",2546,"CS"
1986,2550,"CS",2798,"CS"
1986,3352,"CS",3731,"CS"
1986,3352,"CS",2412,"CS"
1986,3352,"CS",2699,"CS"
1986,3731,"CS",2412,"CS"
1986,3731,"CS",2699,"CS"
1986,2412,"CS",2699,"CS"
1986,3765,"CS",2715,"BIO"
1986,2760,"CS",3422,"CS"
1986,2109,"BIO",2799,"BIO"
1986,3700,"BIO",2833,"BIO"
1986,2937,"BIO",2834,"BIO"
1986,4018,"BIO",2948,"CS"
1986,4018,"BIO",2948,"CS"
1986,3028,"CS",942,"CS"
1986,3028,"CS",942,"CS"
1986,3028,"CS",4171,"CS"
1986,3042,"BIO",3593,"BIO"
1986,3062,"BIO",1177,"BIO"
1986,1283,"CS",3066,"BIO"
1986,1283,"CS",3066,"BIO"
1986,3153,"CS",3351,"CS"
1986,3168,"CS",378,"CS"
1986,1273,"CS",3235,"CS"
1986,3352,"CS",3731,"CS"
1986,3352,"CS",2412,"CS"
1986,3352,"CS",550,"CS"
1986,3731,"CS",2412,"CS"
1986,3731,"CS",550,"CS"
1986,2412,"CS",550,"CS"
1986,3352,"CS",3731,"CS"
1986,3352,"CS",550,"CS"
1986,3731,"CS",550,"CS"
1986,557,"BIO",3370,"BIO"
1986,557,"BIO",3370,"BIO"
1986,2760,"CS",3422,"CS"
1986,3422,"CS",2330,"CS"
1986,3429,"CS",379,"CS"
1986,3467,"CS",798,"CS"
1986,3467,"CS",798,"CS"
1986,3467,"CS",798,"CS"
1986,3536,"CS",2546,"CS"
1986,3536,"CS",2546,"CS"
1986,3570,"BIO",1402,"BIO"
1986,3574,"CS",942,"CS"
1986,3574,"CS",942,"CS"
1986,3574,"CS",942,"CS"
1986,3582,"BIO",1043,"BIO"
1986,3042,"BIO",3593,"BIO"
1986,3596,"CS",3944,"CS"
1986,3700,"BIO",2833,"BIO"
1986,3718,"CS",847,"CS"
1986,3718,"CS",847,"CS"
1986,3718,"CS",847,"CS"
1986,3718,"CS",847,"CS"
1986,3352,"CS",3731,"CS"
1986,3765,"CS",2715,"BIO"
1986,3270,"CS",3796,"CS"
1986,3270,"CS",3796,"CS"
1986,3826,"CS",2330,"CS"
1986,1911,"CS",3869,"CS"
1986,2170,"CS",3921,"CS"
1986,3596,"CS",3944,"CS"
1986,4171,"CS",4039,"CS"
1986,4069,"CS",2640,"CS"
1986,1574,"CS",4116,"CS"
1986,4171,"CS",4039,"CS"
1986,3028,"CS",4171,"CS"
1987,106,"CS",1558,"CS"
1987,216,"BIO",817,"BIO"
1987,1417,"CS",245,"CS"
1987,3547,"CS",308,"CS"
1987,3320,"CS",348,"CS"
1987,3320,"CS",348,"CS"
1987,371,"CS",1999,"CS"
1987,3429,"CS",379,"CS"
1987,628,"BIO",389,"BIO"
1987,415,"CS",1870,"CS"
1987,415,"CS",1870,"CS"
1987,415,"CS",1870,"CS"
1987,415,"CS",1870,"CS"
1987,470,"CS",3235,"CS"
1987,2119,"CS",498,"CS"
1987,505,"BIO",533,"BIO"
1987,505,"BIO",533,"BIO"
1987,1227,"CS",513,"CS"
1987,3530,"CS",537,"CS"
1987,1856,"BIO",590,"BIO"
1987,628,"BIO",389,"BIO"
1987,686,"CS",1083,"CS"
1987,686,"CS",1083,"CS"
1987,3467,"CS",798,"CS"
1987,3467,"CS",798,"CS"
1987,3467,"CS",798,"CS"
1987,831,"CS",1338,"CS"
1987,3718,"CS",847,"CS"
1987,3718,"CS",847,"CS"
1987,849,"CS",3410,"CS"
1987,889,"CS",1515,"CS"
1987,3028,"CS",942,"CS"
1987,3028,"CS",942,"CS"
1987,1098,"BIO",1960,"BIO"
1987,1178,"CS",2236,"CS"
1987,1227,"CS",513,"CS"
1987,1255,"CS",3089,"CS"
1987,1255,"CS",3089,"CS"
1987,1255,"CS",3089,"CS"
1987,1295,"CS",401,"CS"
1987,831,"CS",1338,"CS"
1987,3570,"BIO",1402,"BIO"
1987,1417,"CS",245,"CS"
1987,2333,"BIO",1449,"BIO"
1987,3317,"BIO",1549,"BIO"
1987,106,"CS",1558,"CS"
1987,3098,"BIO",1568,"BIO"
